Year,Month,Cases,Rain,minT,maxT,VCAP
1982,Feb,34,2.7,10.3,27.7,67.19511418
1982,Mar,40,4.3,11.5,23.7,336.6972036
1982,Apr,30,9.2,11.4,22.7,857.1121396
1982,May,48,14.8,10.7,23.1,834.4981814
1982,Jun,185,3.5,10.4,22.3,181.286659
1982,Jul,70,6.2,10.4,22.4,145.0331435
1982,Aug,60,10.4,10.4,22.4,278.224696
1982,Sep,65,5.3,10.1,24.1,399.7307157
1982,Oct,70,6.1,10.4,22.8,186.8022287
1982,Nov,54,13.4,11.1,NA,1064.898129
1982,Dec,25,4.9,10.9,24,690.3213768
1983,Jan,95,2,10.1,25.1,51.52742121
1983,Feb,100,1.6,11.8,26,75.07867404
1983,Mar,70,2.1,11.8,27.2,271.8388935
1983,Apr,60,8.2,11.4,24.6,1184.812344
1983,May,55,6.9,11.3,23.7,461.2422886
1983,Jun,60,12.7,11.2,23.1,1127.069333
1983,Jul,52,7.3,11.1,22.5,818.8232395
1983,Aug,52,7.9,10.7,22.3,676.4009534
1983,Sep,48,9.4,10,23.3,359.1877179
1983,Oct,45,7.1,11,23,299.9801783
1983,Nov,40,4.7,10.8,23.2,261.7512982
1983,Dec,48,2.5,11.6,23,136.5461501
1984,Jan,70,1.8,9.8,24.3,87.18676699
1984,Feb,90,1.3,9.7,26.6,92.74015301
1984,Mar,65,1.6,11.9,27.4,119.8653758
1984,Apr,45,8.9,11.3,25.2,758.5136924
1984,May,90,5,10.6,23.9,255.65784
1984,Jun,105,5.3,10.3,22.7,216.7049435
1984,Jul,92,6.5,10.4,22.1,290.4358958
1984,Aug,50,5.7,10.7,22.8,388.1365207
1984,Sep,60,3.7,9.9,23.8,167.3560689
1984,Oct,30,3.6,11.2,23.7,185.9258807
1984,Nov,30,4.9,10.9,23,193.5792715
1984,Dec,65,1.5,10.7,23.7,104.6096232
1985,Jan,65,2.4,11.2,25.6,305.1113687
1985,Feb,115,5,10.7,23.6,771.5327508
1985,Mar,35,5.4,12.1,25.1,653.5219827
1985,Apr,145,13.4,11.7,22.4,1628.465273
1985,May,305,10.2,11.6,22.5,775.242562
1985,Jun,70,5.3,11.2,22.4,451.2301729
1985,Jul,68,9.7,9.9,21.4,247.7417307
1985,Aug,48,7.3,10.6,21.8,559.3645801
1985,Sep,48,8.4,10.5,23.5,805.6556524
1985,Oct,40,1.8,11.3,24.6,159.630751
1985,Nov,30,4.3,11.6,23.6,330.8905181
1985,Dec,54,2.1,10.8,24.8,44.53920192
1986,Jan,40,1.3,10,25.1,8.095951704
1986,Feb,48,1.8,10.3,26.8,229.9253946
1986,Mar,50,3.8,10.4,26,202.5749712
1986,Apr,115,12.4,12,23.5,2961.021153
1986,May,130,10,11.2,23.1,854.8571295
1986,Jun,98,3.1,11.4,21.7,118.5357564
1986,Jul,105,4.5,10.3,22,80.66656987
1986,Aug,75,4.6,10,23.1,95.37003034
1986,Sep,50,6.7,10.1,23.6,377.5079005
1986,Oct,48,2.2,11.2,24.4,58.69235608
1986,Nov,52,2.2,11.4,23.8,63.81595084
1986,Dec,20,1.7,11,24,91.24855492
1987,Jan,48,3.5,11.2,25.4,489.8469918
1987,Feb,70,5.9,11,26.2,716.4745421
1987,Mar,95,7.9,11.5,25.4,1596.901603
1987,Apr,98,7,11.8,24.5,1703.277581
1987,May,90,7.3,11.7,22.9,399.189079
1987,Jun,135,7.6,11.9,22.5,1932.641031
1987,Jul,85,4.1,10.5,23.8,314.7061944
1987,Aug,215,5.8,11.3,23.5,472.9905199
1987,Sep,65,4.4,10.8,25.1,239.4468538
1987,Oct,45,4.1,10.6,24.7,80.83964908
1987,Nov,55,7.1,11.8,23.5,1444.496819
1987,Dec,90,2.3,10.2,25.4,113.7895725
1988,Jan,105,11.7,10.8,24.4,3076.889813
1988,Feb,80,4.1,11.7,25.7,708.0173094
1988,Mar,75,6,11.6,24.8,577.5315874
1988,Apr,55,9.2,12.5,23.4,1249.971583
1988,May,90,5.9,11.3,23.8,1014.892757
1988,Jun,150,5.1,10.6,22.9,282.7913747
1988,Jul,315,5.2,10.9,22,481.2396201
1988,Aug,80,8.9,10.8,22.2,476.9045572
1988,Sep,78,7.6,10.9,22.9,502.4479789
1988,Oct,72,6.9,9.9,23.7,259.6375681
1988,Nov,68,4.6,10.5,23.3,621.5215355
1988,Dec,64,1.2,10.7,24.1,39.38369679
1989,Jan,74,1.9,10.6,23.9,36.91861387
1989,Feb,54,4.7,10.6,25.1,978.0857964
1989,Mar,45,14.2,10.3,24.5,882.7838996
1989,Apr,80,6.6,11.1,23.2,927.1609512
1989,May,30,7.4,10.5,22.7,474.5203822
1989,Jun,85,1.8,10.6,22.9,60.48721367
1989,Jul,140,5.5,11,21.9,116.6524316
1989,Aug,95,5.8,10.9,22.6,662.7285636
1989,Sep,60,6.7,10.7,23.5,254.003758
1989,Oct,52,5.2,10.6,23.3,238.3235934
1989,Nov,45,3.2,10.9,23.7,199.4286878
1989,Dec,40,5,10.9,23.9,725.4577582
1990,Jan,55,3.6,10.3,24.9,802.5299795
1990,Feb,150,8.3,11.9,24.7,1722.950159
1990,Mar,80,7.5,11.7,24,1584.136622
1990,Apr,225,8.6,12.1,23.4,1683.224066
1990,May,385,5.1,11.7,23.8,911.798896
1990,Jun,200,3.1,10.5,23.3,181.5939344
1990,Jul,80,3.6,10.8,23.1,243.8683646
1990,Aug,60,6.6,10.6,22.9,376.3529966
1990,Sep,55,5.5,10.1,24.2,160.3598438
1990,Oct,35,4.6,10.4,24.3,251.7222904
1990,Nov,25,4,10.1,24.1,293.3453621
1990,Dec,40,3,10.1,24.3,161.2858375
1991,Jan,65,6.7,10.4,25,871.4934796
1991,Feb,55,3.2,10.2,26.3,35.17302387
1991,Mar,90,6.1,11.1,26,1217.622969
1991,Apr,70,4.2,11.3,24.2,252.7885383
1991,May,140,11.9,12,22.9,1801.269041
1991,Jun,245,5.4,12.1,23.3,262.9962482
1991,Jul,100,3.8,11.2,21.8,189.0783565
1991,Aug,65,6.4,11.3,22.9,390.2375689
1991,Sep,65,5.6,10.2,24.1,301.5965353
1991,Oct,45,7.3,10.3,23.5,602.2169805
1991,Nov,65,4.3,10.1,23.7,275.2230547
1991,Dec,70,1.2,10.5,24.2,30.02610155
1992,Jan,75,0.9,10.5,26.6,17.57015332
1992,Feb,70,4.7,11.3,25.9,238.8926518
1992,Mar,45,4.9,11.2,27.4,1197.940673
1992,Apr,35,7.3,11.7,24.5,1104.172531
1992,May,150,6.8,11,23.7,875.710555
1992,Jun,205,7.5,12,22.9,728.7692345
1992,Jul,165,6.1,10.6,22.1,221.156498
1992,Aug,108,7.4,11.5,22.5,608.9163368
1992,Sep,80,5.9,10.8,23.6,539.6513978
1992,Oct,70,8.4,11.2,23.2,728.1922494
1992,Nov,40,3.1,9.8,23.9,149.550982
1992,Dec,35,3.3,11.1,23.7,265.9229292
1993,Jan,70,4.7,11.9,22.8,923.3356768
1993,Feb,85,4.5,11,24.2,725.7920645
1993,Mar,110,1.3,9.6,26.4,5.719667136
1993,Apr,95,6.1,10.1,25.6,463.9539203
1993,May,75,9.1,11.3,23.3,685.791143
1993,Jun,65,7.1,11.3,22.5,551.1794789
1993,Jul,110,4.9,10.6,22.6,292.0192992
1993,Aug,120,3.6,10.2,23.5,74.33272351
1993,Sep,90,3.7,10.5,24.4,78.10184578
1993,Oct,85,5.3,10.1,24.9,260.9238306
1993,Nov,75,2.4,11.2,24.6,126.5736898
1993,Dec,50,3.3,11.2,25.1,431.781318
1994,Jan,55,1.3,10.6,26.5,24.91538555
1994,Feb,70,2,9.9,26.6,196.0580143
1994,Mar,85,6.7,11.2,25.6,951.0144637
1994,Apr,140,7.7,11.4,24.8,1293.383733
1994,May,185,12.7,11,23.2,3472.96557
1994,Jun,485,4.7,11.9,22.5,274.3434735
1994,Jul,275,8,11.2,22.1,810.5828228
1994,Aug,130,6,11,22.8,598.1134739
1994,Sep,100,3.4,10,24.7,147.3545899
1994,Oct,55,3.8,10.2,24.3,75.33119452
1994,Nov,40,7.9,11.9,22.6,592.1050884
1994,Dec,90,1.6,10.1,24.4,35.50794985
1995,Jan,190,1,11.2,26.4,39.875357
1995,Feb,180,3.7,10.3,25.8,152.0175917
1995,Mar,80,6.7,10.8,25.1,881.2721862
1995,Apr,45,7.5,11.8,24.4,1039.114525
1995,May,65,7.7,11.3,23.6,824.148219
1995,Jun,75,7.2,12.2,23.7,1069.912441
1995,Jul,105,2.6,11.3,22.2,171.8010294
1995,Aug,90,4.3,11.1,23.6,136.1078733
1995,Sep,55,6.3,11.4,24,568.5914593
1995,Oct,30,9.3,11.3,23.6,5936.439939
1995,Nov,50,6,11.7,23.7,352.6284846
1995,Dec,90,3,9.4,24.2,72.99962971
1996,Jan,80,2.2,9.5,25.1,146.1714378
1996,Feb,70,7.2,10.7,25,834.1455161
1996,Mar,73,5,11.3,24.8,536.6309074
